OBJECTID,DATE,Male,Female,Unknown
1,04/08/2020 10:00:00 AM,78,46,
2,04/09/2020 10:00:00 AM,85,53,
3,04/10/2020 10:00:00 AM,102,69,
4,04/11/2020 10:00:00 AM,121,85,
5,04/12/2020 10:00:00 AM,136,99,
6,04/13/2020 10:00:00 AM,145,117,
7,04/14/2020 10:00:00 AM,165,137,
8,04/15/2020 10:00:00 AM,185,164,
9,04/16/2020 10:00:00 AM,205,187,
10,04/17/2020 10:00:00 AM,227,198,
11,04/18/2020 10:00:00 AM,244,218,1
12,04/19/2020 10:00:00 AM,261,224,1
13,04/20/2020 10:00:00 AM,274,242,0
14,04/21/2020 10:00:00 AM,314,270,0
15,04/22/2020 10:00:00 AM,339,292,0
16,04/23/2020 10:00:00 AM,360,320,0
17,04/24/2020 10:00:00 AM,373,350,0
18,04/25/2020 10:00:00 AM,412,385,0
19,04/26/2020 10:00:00 AM,427,400,0
20,04/27/2020 10:00:00 AM,446,412,0
21,04/28/2020 10:00:00 AM,480,449,0
22,04/29/2020 10:00:00 AM,502,483,0
23,04/30/2020 10:00:00 AM,538,509,0
24,05/01/2020 10:00:00 AM,567,531,0
25,05/02/2020 10:00:00 AM,602,554,0
26,05/03/2020 10:00:00 AM,616,566,0
27,05/04/2020 10:00:00 AM,635,581,0
28,05/05/2020 10:00:00 AM,671,619,0
29,05/06/2020 10:00:00 AM,690,648,0
30,05/07/2020 10:00:00 AM,722,679,0
31,05/08/2020 10:00:00 AM,747,706,0
32,05/09/2020 10:00:00 AM,771,739,0
33,05/10/2020 10:00:00 AM,790,748,0
34,05/11/2020 10:00:00 AM,806,767,0
35,05/12/2020 10:00:00 AM,838,805,0
36,05/13/2020 10:00:00 AM,856,838,0
37,05/14/2020 10:00:00 AM,877,871,0
38,05/15/2020 10:00:00 AM,902,890,0
39,05/16/2020 10:00:00 AM,927,915,0
40,05/17/2020 10:00:00 AM,945,931,0
41,05/18/2020 10:00:00 AM,963,940,0
42,05/19/2020 10:00:00 AM,996,967,0
43,05/20/2020 10:00:00 AM,1017,987,0
44,05/21/2020 10:00:00 AM,1037,1008,0
45,05/22/2020 10:00:00 AM,1054,1038,0
46,05/23/2020 10:00:00 AM,1074,1056,0
47,05/24/2020 10:00:00 AM,1094,1068,0
48,05/25/2020 10:00:00 AM,1110,1077,0
49,05/26/2020 10:00:00 AM,1126,1091,0
50,05/27/2020 10:00:00 AM,1149,1121,0
51,05/28/2020 10:00:00 AM,1170,1137,0
52,05/29/2020 10:00:00 AM,1192,1156,0
53,05/30/2020 10:00:00 AM,1214,1176,0
54,05/31/2020 10:00:00 AM,1227,1184,0
55,06/01/2020 10:00:00 AM,1238,1193,0
56,06/02/2020 10:00:00 AM,1255,1219,0
57,06/03/2020 10:00:00 AM,1278,1241,0
58,06/04/2020 10:00:00 AM,1293,1253,0
59,06/05/2020 10:00:00 AM,1314,1266,0
60,06/06/2020 10:00:00 AM,1332,1284,0
61,06/07/2020 10:00:00 AM,1337,1288,0
62,06/08/2020 10:00:00 AM,1353,1300,0
63,06/09/2020 10:00:00 AM,1374,1312,0
64,06/10/2020 10:00:00 AM,1390,1329,0
65,06/11/2020 10:00:00 AM,1408,1342,0
66,06/12/2020 10:00:00 AM,1413,1360,0
67,06/13/2020 10:00:00 AM,1429,1370,0
68,06/14/2020 10:00:00 AM,1436,1375,0
69,06/15/2020 10:00:00 AM,1436,1381,0
70,06/16/2020 10:00:00 AM,1458,1393,0
71,06/17/2020 10:00:00 AM,1468,1398,0
72,06/18/2020 10:00:00 AM,1479,1407,0
73,06/19/2020 10:00:00 AM,1486,1415,0
74,06/20/2020 10:00:00 AM,1497,1426,0
75,06/21/2020 10:00:00 AM,1504,1433,0
76,06/22/2020 10:00:00 AM,1508,1437,0
77,06/23/2020 10:00:00 AM,1517,1446,0
78,06/24/2020 10:00:00 AM,1525,1453,0
79,06/25/2020 10:00:00 AM,1537,1464,0
80,06/26/2020 10:00:00 AM,1542,1473,0
81,06/27/2020 10:00:00 AM,1547,1483,0
82,06/28/2020 10:00:00 AM,1554,1488,0
83,06/29/2020 10:00:00 AM,1558,1490,0
84,06/30/2020 10:00:00 AM,1567,1495,0
85,07/01/2020 10:00:00 AM,1575,1502,0
86,07/02/2020 10:00:00 AM,1581,1505,0
87,07/03/2020 10:00:00 AM,1581,1518,0
88,07/04/2020 10:00:00 AM,1586,1525,0
89,07/05/2020 10:00:00 AM,1587,1531,0
90,07/06/2020 10:00:00 AM,1588,1533,0
91,07/07/2020 10:00:00 AM,1593,1547,0
92,07/08/2020 10:00:00 AM,1597,1552,0
93,07/09/2020 10:00:00 AM,1603,1557,0
94,07/10/2020 10:00:00 AM,1609,1563,0
95,07/11/2020 10:00:00 AM,1613,1566,0
96,07/12/2020 10:00:00 AM,1619,1569,0
97,07/13/2020 10:00:00 AM,1622,1572,0
98,07/14/2020 10:00:00 AM,1627,1575,0
99,07/15/2020 10:00:00 AM,1632,1577,0
100,07/16/2020 10:00:00 AM,1634,1581,0
101,07/17/2020 10:00:00 AM,1639,1588,0
102,07/18/2020 10:00:00 AM,1643,1595,0
103,07/19/2020 10:00:00 AM,1649,1598,0
104,07/20/2020 10:00:00 AM,1651,1601,0
105,07/21/2020 10:00:00 AM,1660,1612,0
106,07/22/2020 10:00:00 AM,1664,1612,0
107,07/23/2020 10:00:00 AM,1666,1615,0
108,07/24/2020 10:00:00 AM,1671,1622,0
109,07/25/2020 10:00:00 AM,1679,1625,0
110,07/26/2020 10:00:00 AM,1682,1627,0
111,07/27/2020 10:00:00 AM,1685,1630,0
112,07/28/2020 10:00:00 AM,1689,1638,0
113,07/29/2020 10:00:00 AM,1701,1646,0
114,07/30/2020 10:00:00 AM,1708,1649,0
115,07/31/2020 10:00:00 AM,1711,1651,0
116,08/01/2020 10:00:00 AM,1719,1655,0
117,08/02/2020 10:00:00 AM,1723,1658,0
