OBJECTID,DATE,Count
1,03/13/2020 10:00:00 AM,2
2,03/14/2020 10:00:00 AM,3
3,03/15/2020 10:00:00 AM,
4,03/16/2020 10:00:00 AM,4
5,03/17/2020 10:00:00 AM,
6,03/18/2020 10:00:00 AM,14
7,03/19/2020 10:00:00 AM,14
8,03/20/2020 10:00:00 AM,15
9,03/21/2020 10:00:00 AM,16
10,03/22/2020 10:00:00 AM,26
11,03/23/2020 10:00:00 AM,34
12,03/24/2020 10:00:00 AM,50
13,03/25/2020 10:00:00 AM,67
14,03/26/2020 10:00:00 AM,132
15,03/27/2020 10:00:00 AM,173
16,03/28/2020 10:00:00 AM,226
17,03/29/2020 10:00:00 AM,277
18,03/30/2020 10:00:00 AM,353
19,03/31/2020 10:00:00 AM,429
20,04/01/2020 10:00:00 AM,522
21,04/02/2020 10:00:00 AM,582
22,04/03/2020 10:00:00 AM,664
23,04/04/2020 10:00:00 AM,821
24,04/05/2020 10:00:00 AM,936
25,04/06/2020 10:00:00 AM,1059
26,04/07/2020 10:00:00 AM,1106
27,04/08/2020 10:00:00 AM,1210
28,04/09/2020 10:00:00 AM,1348
29,04/10/2020 10:00:00 AM,1413
30,04/11/2020 10:00:00 AM,1709
31,04/12/2020 10:00:00 AM,1860
32,04/13/2020 10:00:00 AM,1975
33,04/14/2020 10:00:00 AM,2122
34,04/15/2020 10:00:00 AM,2231
35,04/16/2020 10:00:00 AM,2451
36,04/17/2020 10:00:00 AM,2612
37,04/18/2020 10:00:00 AM,2757
38,04/19/2020 10:00:00 AM,2886
39,04/20/2020 10:00:00 AM,3014
40,04/21/2020 10:00:00 AM,3158
41,04/22/2020 10:00:00 AM,3325
42,04/23/2020 10:00:00 AM,3477
43,04/24/2020 10:00:00 AM,3618
44,04/25/2020 10:00:00 AM,3760
45,04/26/2020 10:00:00 AM,3962
46,04/27/2020 10:00:00 AM,4101
47,04/28/2020 10:00:00 AM,4268
48,04/29/2020 10:00:00 AM,4402
49,04/30/2020 10:00:00 AM,4559
50,05/01/2020 10:00:00 AM,4718
51,05/02/2020 10:00:00 AM,4910
52,05/03/2020 10:00:00 AM,5051
53,05/04/2020 10:00:00 AM,5199
54,05/05/2020 10:00:00 AM,5337
55,05/06/2020 10:00:00 AM,5497
56,05/07/2020 10:00:00 AM,5663
57,05/08/2020 10:00:00 AM,5811
58,05/09/2020 10:00:00 AM,5932
59,05/10/2020 10:00:00 AM,5955
60,05/11/2020 10:00:00 AM,6183
61,05/12/2020 10:00:00 AM,6287
62,05/13/2020 10:00:00 AM,6404
63,05/14/2020 10:00:00 AM,6553
64,05/15/2020 10:00:00 AM,6679
65,05/16/2020 10:00:00 AM,6755
66,05/17/2020 10:00:00 AM,6993
67,05/18/2020 10:00:00 AM,7086
68,05/19/2020 10:00:00 AM,7199
69,05/20/2020 10:00:00 AM,7393
70,05/21/2020 10:00:00 AM,7485
71,05/22/2020 10:00:00 AM,7634
72,05/23/2020 10:00:00 AM,7825
73,05/24/2020 10:00:00 AM,7939
74,05/25/2020 10:00:00 AM,8092
75,05/26/2020 10:00:00 AM,8179
76,05/27/2020 10:00:00 AM,8281
77,05/28/2020 10:00:00 AM,8392
78,05/29/2020 10:00:00 AM,8479
79,05/30/2020 10:00:00 AM,8619
80,05/31/2020 10:00:00 AM,8738
81,06/01/2020 10:00:00 AM,8886
82,06/02/2020 10:00:00 AM,8957
83,06/03/2020 10:00:00 AM,9111
84,06/04/2020 10:00:00 AM,9217
85,06/05/2020 10:00:00 AM,9346
86,06/06/2020 10:00:00 AM,9451
87,06/07/2020 10:00:00 AM,9546
88,06/08/2020 10:00:00 AM,9629
89,06/09/2020 10:00:00 AM,9676
90,06/10/2020 10:00:00 AM,9755
91,06/11/2020 10:00:00 AM,9789
92,06/12/2020 10:00:00 AM,9923
93,06/13/2020 10:00:00 AM,10053
94,06/14/2020 10:00:00 AM,10165
95,06/15/2020 10:00:00 AM,10222
96,06/16/2020 10:00:00 AM,10262
97,06/17/2020 10:00:00 AM,10309
98,06/18/2020 10:00:00 AM,10357
99,06/19/2020 10:00:00 AM,10447
100,06/20/2020 10:00:00 AM,10497
101,06/21/2020 10:00:00 AM,10544
102,06/22/2020 10:00:00 AM,10572
103,06/23/2020 10:00:00 AM,10611
104,06/24/2020 10:00:00 AM,10648
105,06/25/2020 10:00:00 AM,10683
106,06/26/2020 10:00:00 AM,10725
107,06/27/2020 10:00:00 AM,10751
108,06/28/2020 10:00:00 AM,10793
109,06/29/2020 10:00:00 AM,10822
110,06/30/2020 10:00:00 AM,10844
111,07/01/2020 10:00:00 AM,10902
112,07/02/2020 10:00:00 AM,10939
113,07/03/2020 10:00:00 AM,10973
114,07/04/2020 10:00:00 AM,11034
115,07/05/2020 10:00:00 AM,11071
116,07/06/2020 10:00:00 AM,11096
117,07/07/2020 10:00:00 AM,11111
118,07/08/2020 10:00:00 AM,11184
119,07/09/2020 10:00:00 AM,11221
120,07/10/2020 10:00:00 AM,11300
121,07/11/2020 10:00:00 AM,11353
122,07/12/2020 10:00:00 AM,11420
123,07/13/2020 10:00:00 AM,11467
124,07/14/2020 10:00:00 AM,11485
125,07/15/2020 10:00:00 AM,11625
126,07/16/2020 10:00:00 AM,11687
127,07/17/2020 10:00:00 AM,11728
128,07/18/2020 10:00:00 AM,11788
129,07/19/2020 10:00:00 AM,11841
130,07/20/2020 10:00:00 AM,11897
131,07/21/2020 10:00:00 AM,11949
132,07/22/2020 10:00:00 AM,11997
133,07/23/2020 10:00:00 AM,12037
134,07/24/2020 10:00:00 AM,12119
135,07/25/2020 10:00:00 AM,12188
136,07/26/2020 10:00:00 AM,12283
137,07/27/2020 10:00:00 AM,12339
138,07/28/2020 10:00:00 AM,12389
139,07/29/2020 10:00:00 AM,12448
140,07/30/2020 10:00:00 AM,12500
141,07/31/2020 10:00:00 AM,12593
142,08/01/2020 10:00:00 AM,12672
143,08/02/2020 10:00:00 AM,12746
144,08/03/2020 10:00:00 AM,12832
145,08/04/2020 10:00:00 AM,12888
146,08/05/2020 10:00:00 AM,12922
147,08/06/2020 10:00:00 AM,12978
148,08/07/2020 10:00:00 AM,13047
149,08/08/2020 10:00:00 AM,13105
150,08/09/2020 10:00:00 AM,13177
151,08/10/2020 10:00:00 AM,13247
152,08/11/2020 10:00:00 AM,13266
153,08/12/2020 10:00:00 AM,13348
154,08/13/2020 10:00:00 AM,13463
155,08/14/2020 10:00:00 AM,13508
156,08/15/2020 10:00:00 AM,13556
157,08/16/2020 10:00:00 AM,13614
158,08/17/2020 10:00:00 AM,13658
159,08/18/2020 10:00:00 AM,13698
160,08/19/2020 10:00:00 AM,13744
161,08/20/2020 10:00:00 AM,13785
162,08/21/2020 10:00:00 AM,13823
163,08/22/2020 10:00:00 AM,13864
164,08/23/2020 10:00:00 AM,13956
165,08/24/2020 10:00:00 AM,14007
166,08/25/2020 10:00:00 AM,14051
167,08/26/2020 10:00:00 AM,14090
168,08/27/2020 10:00:00 AM,14141
169,08/28/2020 10:00:00 AM,14184
170,08/29/2020 10:00:00 AM,14217
171,08/30/2020 10:00:00 AM,14255
172,08/31/2020 10:00:00 AM,14303
173,09/01/2020 10:00:00 AM,14337
174,09/02/2020 10:00:00 AM,14351
175,09/03/2020 10:00:00 AM,14427
176,09/04/2020 10:00:00 AM,14473
177,09/05/2020 10:00:00 AM,14516
178,09/06/2020 10:00:00 AM,14573
179,09/07/2020 10:00:00 AM,14603
180,09/08/2020 10:00:00 AM,14636
181,09/09/2020 10:00:00 AM,14672
182,09/10/2020 10:00:00 AM,14706
183,09/11/2020 10:00:00 AM,14756
184,09/12/2020 10:00:00 AM,14796
185,09/13/2020 10:00:00 AM,14851
186,09/14/2020 10:00:00 AM,14884
187,09/15/2020 10:00:00 AM,14918
188,09/16/2020 10:00:00 AM,14959
189,09/17/2020 10:00:00 AM,15008
190,09/18/2020 10:00:00 AM,15070
191,09/19/2020 10:00:00 AM,15119
192,09/20/2020 10:00:00 AM,15119
193,09/21/2020 10:00:00 AM,15171
194,09/22/2020 10:00:00 AM,15237
